packet_id,device_time,host_time,x,y,z
12,599617368089.3163,1780930535305.704,-84,94,-1025
12,599617368089.3163,1780930535305.741,-88,93,-1019
12,599617368089.3163,1780930535305.768,-87,95,-1023
12,599617368089.3163,1780930535305.795,-88,93,-1028
12,599617368089.3163,1780930535305.8218,-85,95,-1021
12,599617368089.3163,1780930535305.848,-86,93,-1018
12,599617368089.3163,1780930535305.875,-84,92,-1023
12,599617368089.3163,1780930535305.9001,-86,95,-1022
12,599617368089.3163,1780930535305.926,-91,96,-1020
12,599617368089.3163,1780930535305.9521,-87,94,-1022
12,599617368089.3163,1780930535305.978,-87,93,-1018
12,599617368089.3163,1780930535306.0042,-88,95,-1022
12,599617368089.3163,1780930535306.03,-90,97,-1017
12,599617368089.3163,1780930535306.056,-86,95,-1020
12,599617368089.3163,1780930535306.081,-83,96,-1018
12,599617368089.3163,1780930535306.107,-84,95,-1022
12,599617368089.3163,1780930535306.133,-86,95,-1024
12,599617368089.3163,1780930535306.159,-84,95,-1021
12,599617368089.3163,1780930535306.185,-85,93,-1022
12,599617368089.3163,1780930535306.211,-82,91,-1022
12,599617368089.3163,1780930535306.238,-84,95,-1020
12,599617368089.3163,1780930535306.553,-84,94,-1023
12,599617368089.3163,1780930535306.596,-88,96,-1021
12,599617368089.3163,1780930535306.625,-84,95,-1022
12,599617368089.3163,1780930535306.667,-87,96,-1019
12,599617368089.3163,1780930535306.695,-90,98,-1024
12,599617368089.3163,1780930535306.722,-85,95,-1023
12,599617368089.3163,1780930535306.749,-86,96,-1022
12,599617368089.3163,1780930535306.7751,-87,95,-1019
12,599617368089.3163,1780930535306.932,-87,93,-1020
12,599617368089.3163,1780930535307.034,-85,93,-1017
12,599617368089.3163,1780930535307.068,-87,95,-1018
12,599617368089.3163,1780930535307.097,-88,96,-1022
12,599617368089.3163,1780930535307.125,-84,94,-1028
12,599617368089.3163,1780930535307.152,-85,94,-1024
13,599617368271.2645,1780930535485.352,-86,91,-1019
13,599617368271.2645,1780930535485.402,-86,94,-1022
13,599617368271.2645,1780930535485.425,-88,93,-1023
13,599617368271.2645,1780930535485.445,-91,95,-1018
13,599617368271.2645,1780930535485.466,-87,94,-1023
13,599617368271.2645,1780930535485.485,-88,92,-1023
13,599617368271.2645,1780930535485.509,-91,95,-1024
13,599617368271.2645,1780930535485.528,-85,95,-1021
13,599617368271.2645,1780930535485.548,-87,97,-1021
13,599617368271.2645,1780930535485.568,-85,93,-1021
13,599617368271.2645,1780930535485.587,-87,93,-1021
13,599617368271.2645,1780930535485.607,-87,94,-1017
13,599617368271.2645,1780930535485.627,-85,93,-1015
13,599617368271.2645,1780930535485.646,-86,93,-1024
13,599617368271.2645,1780930535485.666,-86,95,-1021
13,599617368271.2645,1780930535485.685,-88,93,-1013
13,599617368271.2645,1780930535485.7039,-85,95,-1021
13,599617368271.2645,1780930535485.7422,-84,94,-1020
13,599617368271.2645,1780930535485.761,-86,93,-1019
13,599617368271.2645,1780930535485.781,-86,94,-1021
13,599617368271.2645,1780930535485.8,-88,94,-1022
13,599617368271.2645,1780930535485.819,-88,95,-1022
13,599617368271.2645,1780930535485.838,-85,96,-1021
13,599617368271.2645,1780930535485.857,-85,93,-1025
13,599617368271.2645,1780930535485.877,-88,95,-1025
13,599617368271.2645,1780930535485.896,-87,94,-1020
13,599617368271.2645,1780930535485.915,-86,95,-1022
13,599617368271.2645,1780930535485.935,-85,94,-1021
13,599617368271.2645,1780930535485.96,-90,96,-1020
13,599617368271.2645,1780930535485.981,-82,93,-1019
13,599617368271.2645,1780930535486.001,-87,95,-1022
13,599617368271.2645,1780930535486.02,-87,95,-1027
13,599617368271.2645,1780930535486.0388,-85,95,-1021
13,599617368271.2645,1780930535486.058,-86,96,-1026
13,599617368271.2645,1780930535486.0781,-84,94,-1021
13,599617368271.2645,1780930535486.329,-86,95,-1020
14,599617368453.1824,1780930535664.6099,-86,97,-1016
14,599617368453.1824,1780930535664.642,-89,95,-1020
14,599617368453.1824,1780930535664.658,-88,93,-1016
14,599617368453.1824,1780930535664.676,-88,92,-1021
14,599617368453.1824,1780930535664.692,-84,96,-1022
14,599617368453.1824,1780930535664.708,-86,94,-1021
14,599617368453.1824,1780930535664.723,-85,95,-1020
14,599617368453.1824,1780930535664.739,-88,96,-1022
14,599617368453.1824,1780930535664.754,-84,98,-1020
14,599617368453.1824,1780930535664.769,-86,96,-1022
14,599617368453.1824,1780930535664.784,-83,94,-1022
