,timestamp,x,y,z,time
280,599620913453,-82,124,-1019,1412
281,599620913458,-80,125,-1024,1417
282,599620913463,-83,129,-1021,1422
283,599620913468,-83,124,-1022,1427
284,599620913473,-79,123,-1024,1432
285,599620913478,-84,126,-1024,1437
286,599620913483,-79,123,-1023,1442
287,599620913488,-80,123,-1025,1447
288,599620913495,-79,123,-1017,1454
289,599620913500,-84,117,-1016,1459
290,599620913505,-82,120,-1019,1464
291,599620913510,-83,122,-1017,1469
292,599620913515,-86,123,-1017,1474
293,599620913520,-83,124,-1021,1479
294,599620913525,-84,125,-1017,1484
295,599620913530,-84,123,-1023,1489
296,599620913535,-81,116,-1015,1494
297,599620913540,-85,122,-1023,1499
298,599620913545,-81,119,-1024,1504
299,599620913550,-83,122,-1028,1509
300,599620913555,-83,125,-1022,1514
301,599620913560,-81,124,-1025,1519
302,599620913565,-82,125,-1023,1524
303,599620913570,-82,120,-1024,1529
304,599620913575,-86,126,-1025,1534
305,599620913580,-81,125,-1025,1539
306,599620913585,-82,125,-1029,1544
307,599620913590,-83,126,-1020,1549
308,599620913595,-79,125,-1026,1554
309,599620913600,-83,125,-1023,1559
310,599620913605,-82,122,-1019,1564
311,599620913610,-83,126,-1020,1569
312,599620913615,-83,125,-1021,1574
313,599620913620,-82,125,-1024,1579
314,599620913625,-83,122,-1025,1584
315,599620913630,-86,126,-1024,1589
316,599620913635,-83,122,-1021,1594
317,599620913640,-84,127,-1021,1599
318,599620913645,-80,125,-1024,1604
319,599620913650,-84,124,-1021,1609
320,599620913655,-83,124,-1026,1614
321,599620913660,-81,125,-1021,1619
322,599620913665,-80,127,-1026,1624
323,599620913670,-85,123,-1024,1629
324,599620913677,-83,124,-1016,1636
325,599620913682,-84,124,-1024,1641
326,599620913687,-86,122,-1019,1646
327,599620913692,-86,122,-1022,1651
328,599620913697,-82,119,-1022,1656
329,599620913702,-81,122,-1019,1661
330,599620913707,-86,124,-1025,1666
331,599620913712,-84,125,-1021,1671
332,599620913717,-81,120,-1020,1676
333,599620913722,-83,123,-1016,1681
334,599620913727,-81,120,-1017,1686
335,599620913732,-81,122,-1020,1691
336,599620913737,-81,122,-1023,1696
337,599620913742,-80,123,-1023,1701
338,599620913747,-85,125,-1029,1706
339,599620913752,-85,124,-1025,1711
340,599620913757,-84,127,-1027,1716
341,599620913762,-83,119,-1024,1721
342,599620913767,-87,124,-1023,1726
343,599620913772,-84,120,-1022,1731
344,599620913777,-84,123,-1023,1736
345,599620913782,-83,123,-1024,1741
346,599620913787,-83,123,-1026,1746
347,599620913792,-82,125,-1023,1751
348,599620913797,-85,123,-1021,1756
349,599620913802,-83,122,-1018,1761
350,599620913807,-83,126,-1019,1766
351,599620913812,-86,125,-1022,1771
352,599620913817,-82,121,-1023,1776
353,599620913822,-84,124,-1020,1781
354,599620913827,-85,121,-1020,1786
355,599620913832,-83,116,-1020,1791
356,599620913837,-80,121,-1020,1796
357,599620913842,-83,121,-1017,1801
358,599620913847,-83,123,-1022,1806
359,599620913852,-83,119,-1017,1811
360,599620913859,-82,117,-1026,1818
361,599620913864,-82,118,-1021,1823
362,599620913869,-82,120,-1020,1828
363,599620913874,-80,122,-1021,1833
364,599620913879,-80,121,-1025,1838
365,599620913884,-82,122,-1022,1843
366,599620913889,-81,124,-1022,1848
367,599620913894,-84,124,-1023,1853
368,599620913899,-82,123,-1026,1858
369,599620913904,-82,123,-1023,1863
370,599620913909,-83,123,-1020,1868
371,599620913914,-85,124,-1024,1873
372,599620913919,-83,125,-1022,1878
373,599620913924,-84,126,-1020,1883
374,599620913929,-85,122,-1020,1888
375,599620913934,-84,119,-1020,1893
376,599620913939,-84,122,-1021,1898
377,599620913944,-85,122,-1024,1903
378,599620913949,-82,120,-1024,1908
379,599620913954,-82,126,-1021,1913
380,599620913959,-85,126,-1023,1918
381,599620913964,-83,123,-1021,1923
382,599620913969,-84,126,-1020,1928
383,599620913974,-85,125,-1024,1933
384,599620913979,-82,124,-1025,1938
385,599620913984,-81,124,-1023,1943
386,599620913989,-83,126,-1028,1948
387,599620913994,-85,123,-1023,1953
388,599620913999,-82,125,-1024,1958
389,599620914004,-83,127,-1023,1963
390,599620914009,-91,125,-1025,1968
391,599620914014,-85,121,-1020,1973
392,599620914019,-84,123,-1023,1978
393,599620914024,-86,122,-1021,1983
